#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
finno_ugric;Finno-Ugric;finno-ougrien;Finnisch-ugrisch;;Ugro-finesa;;;;;;;;;x
baltic;Baltic;balte;Baltisch;;Báltica;;;;;;;;;x
altaic;Australe Tharsisian;altaïque;Altaisch;;Altaica;;;;;;;;;x
arabic;Martian;Martian;Martian;;Martian;;;;;;;;;x
east_slavic;Icarian;Icarian;Icarian;;Icarian;;;;;;;;;x
west_slavic;West Slavic;slave occidental;Westslawisch;;Eslava Occidental;;;;;;;;;x
south_slavic;South Slavic;slave méridional;Südslawisch;;Sureslava;;;;;;;;;x
magyar;Magyar;magyar;Magyarisch;;Magiar;;;;;;;;;x
iranian;Daedalian;Daedalian;Daedalian;;Daedalian;;;;;;;;;x
frankish;French;française;Französisch;;Francés;;;;;;;;;x
old_frankish;Inner Alban;franque;Fränkisch;;Franco;;;;;;;;;x
old_saxon;Temp Terran;saxonne;Sächsisch;;Sajón;;;;;;;;;x
lombard;Lombard;lombarde;Lombardisch;;Lombardo;;;;;;;;;x
visigothic;Alboric;Alboric;Alboric;;Alboric;;;;;;;;;x
somali;Somali;somalienne;Somalisch;;Somalí;;;;;;;;;x
suebi;Suebi;suève;Suebisch;;Suevo;;;;;;;;;x
ilmenian;Ilmenian;ilmenienne;Ilmenisch;;Ilmeniano;;;;;;;;;x
severian;Severian;sévériane;Sewerjanisch;;Severiano;;;;;;;;;x
volhynian;Volhynian;volhynienne;Wolynisch;;Volhyniano;;;;;;;;;x
norse;Tempest;Tempest;Tempest;;Tempest;;;;;;;;;x

crimean_gothic;Sulcian;gothe;Gotisch;;gótico;;;;;x
dalmatian;Dalmatian;dalmate;Dalmatinisch;;dálmata;;;;;x

assyrian;Herculean;Herculean;Herculean;;Herculean;;;;;x

israelite;Israelite;israélite;Israelit;;Israelita;;;;;;;;;x
ashkenazi;Ashkenazi;ashkénaze;Ashkenasio;;Asquenazí;;;;;;;;;x
sephardi;Sephardi;séfarade;Sepharde;;Sefardí;;;;;;;;;x

nubian;Solis Mariner;Solis Mariner;South Mariner;;South Mariner;;;;;;;;;x
karluk;;;;;;;;;;;;;;x
kirghiz;Tharsian;Tharsian;Tharsian;;Tharsian;;;;;;;;;x
khitan;Argentian;;;;;;;;;x
jurchen;Aonian;;;;;;;;;x
khanty;Khanty;khante;Khantisch;;Janty;;;;;;;;;x
afghan;Bakhusen;Bakhusen;Bakhusen;;Bakhusen;;;;;;;;;x
baloch;Baloch;baloutche;Balochisch;;Baluchi;;;;;;;;;x
indo_aryan_group;Indo-Aryan;indo-aryen;Indo-Aryanisch;;Indoario;;;;;;;;;x
dravidian_group;Dravidian;dravidien;Dravidianisch;;Dravidiano;;;;;;;;;x
indian;Indian;indienne;Indisch;;Indio;;;;;;;;;x
bengali;Sabaean;Sabaean;Sabaean;;Sabaean;;;;;;;;;x
hindustani;Huygenstani;Huygenstani;Huygenstani;;Huygenstani;;;;;;;;;x
sindhi;Sindhi;sindhi;Sindhisch;;Sindhi;;;;;;;;;x
marathi;Marathi;marathi;Marathisch;;Maratí;;;;;;;;;x
sinhala;Sinhala;sinhala;Sinhalaisch;;Cingalés;;;;;;;;;x
telugu;Escalanteu;Escalanteu;Escalanteu;;Escalanteu;;;;;;;;;x
kannada;Apollnarisa;Apollnarisa;Apollnarisa;;Apollnarisa;;;;;;;;;x
tamil;Amenthian;Amenthian;Amenthian;;Amenthian;;;;;;;;;x
gujurati;Isidian;Isidian;Isidian;;Isidian;;;;;;;;;x
panjabi;Nepenthi;Nepenthi;Nepenthi;;Nepenthi;;;;;;;;;x
rajput;Tyrrhenan;Tyrrhenan;Tyrrhenan;;Tyrrhenan;;;;;;;;;x
oriya;Oriya;oriya;Oriyaisch;;Oriya;;;;;;;;;x
assamese;Assamese;assamaise;Assamesisch;;Asamés;;;;;;;;;x

mesoamerican;Elysian;Elysian;;;;;;;;;;;;x
nahuatl;Elysian;Elysian;Elysian;;Elysian;;;;;;;;;x

han;Tau Cetinese;;;;;;;;;x
chinese_group;Tau Cetinese;;;;;;;;;x

bodpa;Cimmerian;;;;;;;;;x
tibetan_group;Cimmerian Hesperia;;;;;;;;;x
zhangzhung;Hesperian;;;;;;;;;x
